ID,SEXO,EDAD,GRADO_INSTRUCCION,TIPO_CARGO,EXPERIENCIA,GERENCIA,CREDIBILIDAD,RESPETO,IMPARCIALIDAD,ORGULLO,CAMARADERIA,GENERAL,COMENTARIO,TARGET
3,Femenino,de 23 a 30,Postgrado,Jefe,menor de 1,Recursos Humanos,5,5,4.958333333,5,5,5,El compañerismo entusiasmo vocación de servicio.,PROMOTOR
8,Masculino,mayor de 46,Universitaria completa,Jefe,de 10 a 15,Recursos Humanos,4.59375,4.8,4.833333333,4.722222222,4.7,5,Ahora se nota otro ambiente es su gente lo que hace especial.,PROMOTOR
10,Femenino,de 31 a 38,Universitaria completa,Jefe,menor de 1,Recursos Humanos,4.625,4.366666667,4.75,4.944444444,4.95,5,Camaradería sabes que somos los mejores en el rubro y yo pertenezco a él.,PROMOTOR
16,Masculino,de 23 a 30,Universitaria completa,Analista,menor de 1,Recursos Humanos,4.375,4.066666667,4.333333333,4.277777778,4.9,5,La cultura que reina en la empresa busca el confort y desarrollo del empleado.,PROMOTOR
17,Femenino,de 31 a 38,Tecnico completo,Analista,de 1 a 3,Recursos Humanos,4.875,4.666666667,4.666666667,4.888888889,5,5,La acogida del personal que labora en todas las áreas. La confraternidad.,PROMOTOR
21,Femenino,de 39 a 45,Tecnico incompleto,Auxiliar,de 1 a 3,Recursos Humanos,5,4.9,5,5,4.95,5,El ambiente trato y preocupación por el trabajador.,PROMOTOR
25,Femenino,mayor de 46,Universitaria completa,Jefe,de 10 a 15,Gerencia General,4.4375,4.333333333,4.166666667,4.5,4.2,5,Sí!!! Su gente la gran mayoría está identificada con los objetivos de la empresa y da más del 100%,PROMOTOR
29,Masculino,mayor de 46,Universitaria completa,Jefe,de 7 a 9,Finanzas,4.9375,4.666666667,5,5,5,5,Empresa que cumple fielmente con todos los beneficios laborales del colaborador.,PROMOTOR
30,Femenino,de 31 a 38,Universitaria incompleta,Analista,menor de 1,Finanzas,4.84375,4.733333333,4.833333333,4.888888889,5,5,Los jefes y gerentes son accesibles para la comunicación o consultas que le pueda realizar.,PROMOTOR
32,Masculino,de 23 a 30,Tecnico incompleto,Auxiliar,de 4 a 6,Finanzas,4.5625,4.4,4.583333333,4.5,4.55,5,Nos ofrecen grandes beneficios no solo económicos sino también de diversa índole (canjes para eventos acuerdos sobre precios descuentos y convenios estudiantiles),PROMOTOR
33,Masculino,mayor de 46,Universitaria completa,Jefe,de 7 a 9,Finanzas,4.25,4.4,4.5,4.666666667,4.45,5,El trato familiar y que cumplen puntualmente nuestros beneficios.,PROMOTOR
34,Masculino,mayor de 46,Universitaria completa,Jefe,de 7 a 9,Finanzas,4.40625,4.266666667,4.416666667,4,4.5,4.5,Sí aquí existe bune trato y buena amabilidad y camaradería.,PROMOTOR
37,Femenino,menor de 23,Universitaria completa,Analista,menor de 1,Finanzas,3.3125,2.733333333,3.208333333,3.555555556,3.55,3,Deberían realizar capacitaciones para áreas que lo necesitan como la nuestra. Mejorar la alimentación del comedor que sea más variada y saludable. Reorganizar el área por la cantidad de documentación que demanda el área y no tenemos suficiente espacio para tener un buen desarrollo del desempeño eso trae muchos problemas tanto de incomodidad como espacio ergonómico y problemas de salud (aire acondicionado oficina etc). Evaluar la posibilidad de nivelar los sueldos que hay en el área puesto que manteniendo el mismo puesto las diferencias en el sueldo es muy diferente e injusto. Ampliar el gimnasio para poder tener más espacio entre máquinas y desarrollar cambios.,DETRACTOR
38,Femenino,de 31 a 38,Postgrado,Jefe,de 1 a 3,Finanzas,4.375,4.333333333,4.666666667,4.166666667,4.4,4,Los convenios que existen con las instituciones educativas.,PROMOTOR
43,Femenino,de 31 a 38,Universitaria completa,Analista,de 4 a 6,Finanzas,2.625,2.6,2.583333333,3.333333333,3.55,3,Que mi jefe inmediato se preocupe más por las opiniones de su equipo.,DETRACTOR
44,Femenino,de 23 a 30,Universitaria incompleta,Analista,de 1 a 3,Finanzas,2.09375,2.266666667,1.875,3.222222222,2.65,4,"Tener un líder encabezando un equipo no un ""jefe"" que es lo que actualmente se ve en el área. Un jefe capacitado con criterio e ideas que se preocupe por el equipo y la empresa y no se preocupe más por sus temas personales. Mi jefe ha creado su propia empresa y se preocupa más en su empresa que en sus labores como jefe de logística involucra sus temas de su empresa con el área y eso afecta nuestras labores dentro del área.",DETRACTOR
46,Femenino,de 31 a 38,Universitaria completa,Analista,de 1 a 3,Finanzas,3.3125,3.166666667,2.708333333,3.333333333,3.45,3,Dar más oportunidades para estudiar y brindar el sueldo que corresponde según el cargo que desempeñar y saber elegir al jefe.,DETRACTOR
50,Masculino,de 23 a 30,Tecnico completo,Auxiliar,de 1 a 3,Finanzas,4.5625,4.666666667,4.5,4.722222222,4.7,5,Se nos da oportunidad de pedir permiso para resolver problemas personales haciendo notar que le importa a nuestro jefe que estemos atentos y tranquilos.,PROMOTOR
51,Femenino,mayor de 46,Tecnico incompleto,Auxiliar,mayor de 15,Finanzas,3.375,3.333333333,3,3.5,4,4,Cumbiar en justa manera en cuanto de aumento remuneración para que puedan sentirse bien el trabajador.,DETRACTOR
53,Masculino,de 23 a 30,Tecnico incompleto,Auxiliar,de 1 a 3,Finanzas,4.25,4.566666667,4.125,4.555555556,4.45,4,Yo por mi parte diría que en mi área somos muy unidos y se siente un ambiente acogedor que conosco y puedo trabajar con más ganas.,PROMOTOR
54,Masculino,de 23 a 30,Secundaria o menor,Auxiliar,de 1 a 3,Finanzas,4.28125,4.4,4.208333333,4.611111111,4.75,5,Lo especial es la organización de Recursos Humanos que fomenta la unión nos capacitan. Su labor es muy importante y necesaria.,PROMOTOR
56,Masculino,de 23 a 30,Universitaria incompleta,Auxiliar,menor de 1,Finanzas,4.09375,4.4,4.166666667,4.5,4.65,5,Sí con el trabajo en equipo nos sentimos en familia y con plena confianza de que ante cualquier circunstancia tendremos el apoyo de los demás y el respaldo de nuestros jefes.,PROMOTOR
58,Masculino,de 23 a 30,Secundaria o menor,Auxiliar,de 1 a 3,Finanzas,4.59375,4.366666667,4.208333333,4.833333333,4.7,5,Nos hacen sentir como si estuviéramos en casa y ser parte de nuestra familia.,PROMOTOR
59,Masculino,de 23 a 30,Universitaria incompleta,Jefe,de 4 a 6,Finanzas,4.84375,4.966666667,4.916666667,5,5,5,La empresa se preocupa por sus trabajadores. La empresa reconoce y hace actividades para los trabajadores. Da oportunidades para estudiar.,PROMOTOR
61,Masculino,de 31 a 38,Tecnico incompleto,Analista,de 4 a 6,Finanzas,4.6875,4.9,4.541666667,4.722222222,4.9,5,Sí creo que todos sus empleados nos tratamos por igual y hay respeto y son justos con todos.,PROMOTOR
62,Masculino,de 31 a 38,Tecnico completo,Analista,de 7 a 9,Finanzas,4.5625,4.666666667,4.583333333,4.888888889,4.8,5,El trabajo en equipo creo que hace un buen lugar para trabajar.,PROMOTOR
66,Masculino,de 31 a 38,Tecnico incompleto,Jefe,de 7 a 9,Alimentos y Bebidas,4.5625,4.733333333,4.708333333,4.722222222,4.8,5,Atlantic City es una familia seria por eso es un gran lugar para estar aquí. No lo veo como trabajo lo veo como una casa.,PROMOTOR
68,Femenino,de 23 a 30,Universitaria completa,Auxiliar,menor de 1,Alimentos y Bebidas,4.59375,4.666666667,4.375,4.666666667,4.6,4.5,Lo especial es que Atlantic City posee mucho potencial para seguir siendo creciendo como corporación.,PROMOTOR
69,Femenino,de 23 a 30,Tecnico incompleto,Auxiliar,de 1 a 3,Alimentos y Bebidas,2.25,2.633333333,2,3.222222222,2.7,1.5,Yo cambiaría a algunas jefas porque no veo igualdad muchas veces se dejan llevar por la manipulación y victimización de algunas azafatas. Y veo racismo. Falta transparencia en cuanto comunicar lo que realmente pasa en sala hay favoritismo.,DETRACTOR
72,Masculino,de 23 a 30,Tecnico completo,Tecnico,menor de 1,Alimentos y Bebidas,3.3125,2.8,3.208333333,3.833333333,3.3,4,La remuneración para DJ es un poco baja sería bueno que tengan o inviertan en equipos de consola de sonido.,DETRACTOR
73,Masculino,menor de 23,Tecnico incompleto,Auxiliar,menor de 1,Alimentos y Bebidas,4.1875,4.6,4.041666667,4.277777778,4.05,4,La constante capacitación a sus empleados y los talleres de superación que nos brinda el equipo de Recursos Humanos.,PROMOTOR
75,Masculino,de 23 a 30,Secundaria o menor,Auxiliar,menor de 1,Alimentos y Bebidas,4.09375,4.166666667,3.708333333,4,4.4,5,Sé que es un gran centro de entretenimiento y diversión. Brinda seguridad a sus clientes.,PROMOTOR
76,Masculino,de 31 a 38,Tecnico incompleto,Tecnico,de 1 a 3,Alimentos y Bebidas,1.9375,2.066666667,2.458333333,3.222222222,2.8,2.5,Como trabajador en área de cocina la comida debe ser gratuita es la primera vez que veo que un cocinero tiene que pagar su comida. Debe de haber cursos y capacitaciones. Debe de haber más reuniones entre trabajadores.,DETRACTOR
77,Masculino,de 23 a 30,Tecnico completo,Tecnico,de 1 a 3,Alimentos y Bebidas,3.40625,3.1,3.083333333,3.5,3.8,3,Que no se cobre el almuerzo al personal de cocina y que el sueldo aumente.,DETRACTOR
78,Femenino,de 31 a 38,Tecnico completo,Jefe,de 1 a 3,Alimentos y Bebidas,1.625,2.266666667,2.333333333,1.666666667,2.8,1,Cambiar al gerente de A&B. Capacitación a los empleados. Alimentacioón. Sueldo.,DETRACTOR
79,Femenino,de 31 a 38,Universitaria completa,Jefe,menor de 1,Alimentos y Bebidas,2.8125,2.566666667,2.666666667,3.5,3.1,4,"Deberían evaluar el trabajo de los jefes a veces deja mucho que desear. Cuando haya fiestas como el día del trabajo o de San Valentín los que atienden el servicio no deberíamos ser nosotros sino un catering o personas ""x"" (no Eventos) pues ellos merecen divertirse y disfrutar como cualquier colaborador. Los regalos de los trabajadores deberían ser por áreas y así no este presente guardarse su regalo ya que es algo justo y equitativo para todos. Igual con los regalos de los niños o sea si no va mi hijo no tiene regalo? Es algo ilógico.",DETRACTOR
81,Masculino,mayor de 46,Secundaria o menor,Auxiliar,menor de 1,Alimentos y Bebidas,4.5,4.5,4.5,4.5,4.5,4.5,Bueno al menos yo estoy bien en el trabajo en un ambiente familiar.,PROMOTOR
82,Masculino,de 31 a 38,Tecnico incompleto,Auxiliar,menor de 1,Alimentos y Bebidas,4.65625,4.533333333,4.291666667,4.666666667,4.75,5,Siempre quise trabajar en Atlantic City y ahora estoy trabajando estoy feliz y poner la camiseta para que todo salga bien trabajar en grupo porque somos una familia,PROMOTOR
83,Masculino,de 23 a 30,Secundaria o menor,Auxiliar,de 1 a 3,Alimentos y Bebidas,3.34375,3.133333333,2.916666667,3.111111111,3.8,4,Dar capacitaciones constantes aumentos reconocimientos y dar los alimentos gratuitos.,DETRACTOR
85,Masculino,de 31 a 38,Postgrado,Jefe,de 4 a 6,Alimentos y Bebidas,3.96875,3.833333333,3.291666667,3.888888889,4.5,5,Infraestructura vanguardia ambiente trabajo en equipo.,PROMOTOR
88,Masculino,de 39 a 45,Tecnico incompleto,Auxiliar,de 7 a 9,Alimentos y Bebidas,3.6875,2.466666667,1.916666667,3.222222222,2.45,2,Sería bueno que capaciten a los trabajadores con estudios y no dejarlos tantos años en el mismo puesto. También sería bueno que la comida sea gratis con eso se lograría el objetivo.,DETRACTOR
93,Masculino,de 39 a 45,Tecnico incompleto,Tecnico,de 7 a 9,Alimentos y Bebidas,2.875,2.733333333,3.041666667,3,3.6,3,Mejorar la comunicación entre áreas de diferentes gerencias y unificarlos todas las áreas del casino porque cada uno jala para lo suyo.,DETRACTOR
95,Masculino,de 39 a 45,Tecnico completo,Jefe,de 7 a 9,Alimentos y Bebidas,3.3125,2.866666667,3.041666667,3.333333333,3.2,3,"Como área un checklist para cada colaborador y trabajar en el ""trabajo en equipo"" desde la cabeza. Como empresa que confíen en la actitud positiva de cada uno estamos en un etapa de cambios y nosotros apostamos por ello.",DETRACTOR
98,Masculino,de 23 a 30,Universitaria incompleta,Jefe,de 1 a 3,Alimentos y Bebidas,4.125,4.133333333,3.458333333,4.388888889,4.4,5,Tenemos un ambiente acogedor el trabajador puede decir orgulloso que labora aquí.,PROMOTOR
99,Masculino,de 39 a 45,Postgrado,Jefe,de 4 a 6,Alimentos y Bebidas,3.875,3.933333333,4.166666667,4.888888889,4.45,5,La calidad emana del área y el trabajo en equipo.,PROMOTOR
100,Femenino,de 31 a 38,Tecnico completo,Jefe,de 7 a 9,Alimentos y Bebidas,4.46875,4.3,4.375,4,4.55,4,Las personas que trabajan en mi área la gran mayoría te hace sentir bien y se preocupan por sus compañeros.,PROMOTOR
101,Masculino,de 23 a 30,Tecnico completo,Jefe,de 1 a 3,Alimentos y Bebidas,4.21875,4.366666667,4.708333333,4.722222222,4.8,5,La comprensión y flexibilidad que tenemos en nuestra área es única. Desde nuestro jefe directo que es sumamente humano y profesional.,PROMOTOR
103,Masculino,de 39 a 45,Tecnico incompleto,Jefe,de 7 a 9,Alimentos y Bebidas,4.625,4.733333333,3.833333333,4.777777778,4.9,5,El ambiente que se percibe de cordialidad y saludo constante los jefes te dan la confianza de desarrollarte tú solo.,PROMOTOR
104,Femenino,de 31 a 38,Tecnico completo,Jefe,de 4 a 6,Alimentos y Bebidas,3.6875,3.4,3.041666667,3.722222222,3.45,3.5,Creo que si incrementaran los sueldos esto ayudaríaa encontrar personal más capacitado y más educado.,DETRACTOR
109,Masculino,de 23 a 30,Tecnico incompleto,Tecnico,de 4 a 6,Alimentos y Bebidas,3.0625,3.133333333,1.875,3.222222222,3.15,3,Bueno en particular cambiaría al gerente de A & B. No puede ser posible que trabajadores del turno amanecidas no tengan ningún beneficio especial. Peor aun turnos diurnos son más favorecidos.,DETRACTOR
111,Masculino,de 31 a 38,Universitaria completa,Tecnico,de 7 a 9,Alimentos y Bebidas,2.90625,2.666666667,2.666666667,3.222222222,2.85,2,Que el trato y el desempeño profesional sea igual para todos que se nivele los puestos y sueldos que se reconozca a los que en realidad ponen su esfuerzo en el área que se de las herramientas necesarias y que se reconozca todas las áreas no solo algunas.,DETRACTOR
115,Masculino,de 23 a 30,Tecnico incompleto,Tecnico,de 1 a 3,Alimentos y Bebidas,3.3125,2.966666667,2.833333333,4,3.75,3.5,Que la remuneración de los colaboradores sea justa a veces cuando uno ve que afuera dice ahí pagarán bien pero cuando estás dentro otra es la historia.,DETRACTOR
118,Masculino,de 23 a 30,Tecnico completo,Tecnico,de 1 a 3,Alimentos y Bebidas,2.53125,2.7,2.208333333,2.555555556,2.8,3.5,Pagar lo justo a sus trabajadores los cuales trabajamos más que otros y ganamos menos.,DETRACTOR
119,Masculino,de 23 a 30,Tecnico completo,Tecnico,de 1 a 3,Alimentos y Bebidas,3.71875,3.666666667,3.375,3.777777778,3.35,3,El trato entre áreas más comunicación más respeto tratarnos todos por igual porque primero que trabjadores somos personas y trabajamos en una misma empresa. Por ende todos somos responsables de los éxitos y fracasos. El clima laboral debe mejorar mucho!,DETRACTOR
121,Masculino,de 23 a 30,Tecnico completo,Tecnico,de 1 a 3,Alimentos y Bebidas,3.4375,3.233333333,3.125,3.333333333,3.25,3,Pues establecer bien el sueldo del personal ya que en otras empresas pagan un poco más. El aumento sería por el grado de estudio eso sería genial.,DETRACTOR
124,Masculino,de 23 a 30,Universitaria incompleta,Tecnico,de 4 a 6,Alimentos y Bebidas,2.625,2.866666667,2.458333333,3.333333333,2.7,3.5,Creo yo que el trato de nuestros superiores en ciertas oportunidades no es justa e incluso a nivel sueldo no hay un cierto respeto a las personas con mayor tiempo de servicio.,DETRACTOR
128,Masculino,menor de 23,Secundaria o menor,Jefe,de 1 a 3,Alimentos y Bebidas,3.71875,4.033333333,3.791666667,3.666666667,3.6,5,Sí buen trato con las personas y porque son amables. Buenos beneficios es un buen lugar para trabajar.,PROMOTOR
129,Masculino,de 31 a 38,Tecnico completo,Auxiliar,menor de 1,Alimentos y Bebidas,4.6875,4.766666667,4.791666667,4.944444444,4.9,5,Yo siento el espíritu de trabajo y desarrollo emocional para yo desarrollarlo con cada persona dentro de Atlantic City.,PROMOTOR
132,Masculino,de 39 a 45,Tecnico incompleto,Auxiliar,de 1 a 3,Alimentos y Bebidas,3.78125,4.333333333,3.791666667,4.555555556,4.6,5,Es cálido y un lugar con personas que valoran lo que uno hace como trabajador.,PROMOTOR
134,Masculino,de 23 a 30,Tecnico completo,Auxiliar,de 4 a 6,Alimentos y Bebidas,3.34375,3.133333333,2.916666667,3.222222222,3.45,3.5,Debe haber más convenios de estudios para los jovenes  y más incentivo para los trabajadores: promociones y premios por una gran labor.,DETRACTOR
137,Femenino,de 39 a 45,Tecnico completo,Auxiliar,de 7 a 9,Alimentos y Bebidas,4.28125,4.433333333,4.416666667,4.388888889,4.25,4,La empresa es sólida son puntuales en el pago y el seguro social.,PROMOTOR
140,Masculino,de 23 a 30,Secundaria o menor,Auxiliar,menor de 1,Alimentos y Bebidas,3.71875,3.366666667,3.416666667,4.388888889,4.6,5,Me gustó como centro de labor trabajadas como si estuvieras en casa y eso es muy importante.,PROMOTOR
143,Masculino,de 23 a 30,Tecnico completo,Auxiliar,menor de 1,Alimentos y Bebidas,4.46875,4.466666667,4.416666667,4.444444444,4.9,5,Ambiente de trabajo: es un lugar muy cómodo desde que llegas hasta que sales la gente súper divertida los jefes los beneficios y todo en gneral hace que sea una buena empresa en general.,PROMOTOR
146,Masculino,de 31 a 38,Tecnico completo,Auxiliar,de 1 a 3,Alimentos y Bebidas,2.625,2.533333333,2,2.833333333,2.9,3,No se debe cobrar por la alimentación a los trabajadores de cocina.,DETRACTOR
147,Masculino,de 23 a 30,Tecnico completo,Auxiliar,de 1 a 3,Alimentos y Bebidas,3.40625,3,2.583333333,3.444444444,3.3,4,Agregaría evaluaciones en el personal para seleccionar a los mejores trabajadores. Esto fomentaría mayor esfuerzo del personal.,DETRACTOR
148,Masculino,de 31 a 38,Tecnico incompleto,Auxiliar,de 7 a 9,Alimentos y Bebidas,2.21875,2.233333333,2.25,2.666666667,2.8,1,De que seamos honestos con todos los trabajadores y lo justo para todos que Dios los bendiga.,DETRACTOR
149,Masculino,de 23 a 30,Tecnico completo,Auxiliar,menor de 1,Administracion,3.84375,4.133333333,3.625,4.166666667,4.5,4,En el poco tiempo que estuve he logrado observar la unión de los equipos de trabajo de cada área haciendo todo lo posible por lograr un objetivo.,PROMOTOR
157,Masculino,de 39 a 45,Universitaria completa,Jefe,de 4 a 6,Administracion,4.1875,4.133333333,3.916666667,4.111111111,4,4,Su espíritu de camaradería y familiaridad entre sus miembros.,PROMOTOR
160,Masculino,de 31 a 38,Secundaria o menor,Tecnico,de 1 a 3,Administracion,4.3125,4.633333333,4.291666667,4.444444444,4.55,5,Si en este casino se puede trabajar con mucha tranquilidad hay mucho compañerismo hay calidad y mucha responsabilidad. Tengo todos los beneficios y es un lugar muy acogedor y agradable.,PROMOTOR
162,Masculino,de 31 a 38,Tecnico incompleto,Tecnico,de 1 a 3,Administracion,4.5,4.666666667,4.625,4.611111111,3.7,5,Creo que estamos en una gran empresa donde hay un gran clima laboral y motiva seguir adelante.,PROMOTOR
164,Masculino,menor de 23,Secundaria o menor,Tecnico,menor de 1,Administracion,4.53125,4.766666667,4.583333333,4.722222222,4.85,5,Me gusta el buen clima laboral que hay en la corporación.,PROMOTOR
165,Masculino,de 23 a 30,Tecnico incompleto,Tecnico,de 1 a 3,Administracion,4.5,4.2,4.166666667,4.777777778,4.7,5,No solo es un trabajo uno se siente cómodo seguro y que puede trabajar tranquilo.,PROMOTOR
170,Masculino,menor de 23,Secundaria o menor,Tecnico,menor de 1,Administracion,4.09375,3.9,3.958333333,4,3.8,5,La consideración mutua que hay hacia el colaborador.,PROMOTOR
173,Masculino,de 39 a 45,Secundaria o menor,Tecnico,de 1 a 3,Administracion,4.28125,3.866666667,3.75,4.222222222,4.35,5,Sí porque en la corporación no hay límite de edad como en otras empresas.,PROMOTOR
174,Masculino,de 39 a 45,Secundaria o menor,Auxiliar,de 4 a 6,Administracion,3.75,4.2,3.833333333,4.555555556,4.15,5,Sí porque reune a todos los trabajadores en la mobilidad un almuerzo y fiesta de niños y juegos.,PROMOTOR
175,Femenino,de 23 a 30,Secundaria o menor,Auxiliar,de 1 a 3,Administracion,2.65625,2.6,2.583333333,3.166666667,2.9,2.5,Que deben dar la comida gratis. Y que los beneficios sean para todos iguales y en todas las áreas.,DETRACTOR
177,Masculino,de 31 a 38,Tecnico completo,Tecnico,de 4 a 6,Administracion,3.46875,3.066666667,2.875,3.277777778,3.55,3.5,Que el área de adminstración también tenga algunos beneficios que tiene el área de operaciones.,DETRACTOR
179,Masculino,de 31 a 38,Tecnico incompleto,Tecnico,de 4 a 6,Administracion,4.53125,4.4,4.166666667,4.666666667,4.65,5,Atlantic City es un gran lugar para trabajar por los beneficios que dan por ejemplo utilidades bonos gratificaciones Navidad para los niños Día del Pa,PROMOTOR
184,Masculino,mayor de 46,Tecnico incompleto,Tecnico,de 1 a 3,Administracion,4.03125,4.066666667,4.416666667,4.555555556,3.9,5,Es un lugar acogedor con todos los equipos para poder realizar nuestro trabajo.,PROMOTOR
188,Masculino,de 31 a 38,Tecnico completo,Tecnico,de 7 a 9,Administracion,4.0625,4.033333333,3.958333333,4.277777778,4.1,4,Que el área a la que pertenezco es un lugar donde me siento en familia.,PROMOTOR
193,Masculino,de 23 a 30,Tecnico completo,Tecnico,de 1 a 3,Administracion,4.65625,4.5,4.375,5,4.7,5,Sí sentirse como en casa algo bueno es que los nuevos supervisores nos dejan realizar los trabajos solos sin su supervisión haciendo que haya una buena confianza.,PROMOTOR
196,Masculino,de 39 a 45,Tecnico completo,Tecnico,de 7 a 9,Administracion,3.9375,4.2,3.958333333,4.333333333,4.5,5,Es toda su preocupación por el trabajador brindándole todo para que realice su trabajo.,PROMOTOR
197,Masculino,de 23 a 30,Tecnico incompleto,Tecnico,menor de 1,Administracion,4.4375,4.266666667,4.125,4.777777778,4.35,5,Sí su manejo y percepción con los trabajadores a través de charlas y auditorios ahorro con convenios de centro de estudios.,PROMOTOR
198,Masculino,de 31 a 38,Tecnico completo,Tecnico,de 1 a 3,Administracion,4.21875,4.1,4.208333333,4.111111111,3.55,4.5,Pienso que el grupo que formé con los compañeros y la organización de la empresa (el cómo se consolida).,PROMOTOR
